Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crash Suite,,,,2022-09-21 16:35:23,2022-09-21 16:35:28,4.744s,FAILED
,,,,,,,
Test Cases/Crash_test,,,,2022-09-21 16:35:24,2022-09-21 16:35:28,4.184s,FAILED
"startApplicationWithTitle(""C:\Users\Power\Desktop\Cargo-BI-Client\Cargo_BI_Client\bin\Debug\net6.0-windows\Cargo_BI_Client.exe"", """")",,,,2022-09-21 16:35:25,2022-09-21 16:35:28,3.163s,FAILED
