Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crash Suite,,,,2022-09-21 16:35:01,2022-09-21 16:35:05,4.370s,FAILED
,,,,,,,
Test Cases/Crash_test,,,,2022-09-21 16:35:01,2022-09-21 16:35:05,3.781s,FAILED
"startApplicationWithTitle(""C:\Users\Power\Desktop\Cargo-BI-Client\Cargo_BI_Client\bin\Debug\net6.0-windows\Cargo_BI_Client.exe"", """")",,,,2022-09-21 16:35:02,2022-09-21 16:35:05,2.829s,FAILED
